id,name,Gold,Silver,Bronze,Total
NOR,Norway,9,9,8,26
GER,Germany,9,5,4,18
NED,Netherlands,6,5,2,13
CAN,Canada,5,5,6,16
USA,United States,5,3,2,10
SWE,Sweden,4,3,0,7
AUT,Austria,4,2,4,10
FRA,France,4,2,4,10
KOR,South Korea,3,1,2,6
JPN,Japan,2,5,3,10
SUI,Switzerland,2,4,1,7
ITA,Italy,2,1,3,6
CZE,Czech Republic,1,2,3,6
SVK,Slovakia,1,2,0,3
BLR,Belarus,1,1,0,2
GBR,Great Britain,1,0,3,4
POL,Poland,1,0,0,1
UKR,Ukraine,1,0,0,1
CHN,China,0,5,1,6
OAR,Olympic Athletes from Russia,0,3,8,11
AUS,Australia,0,2,1,3
SLO,Slovenia,0,1,0,1
FIN,Finland,0,0,3,3
ESP,Spain,0,0,2,2
KAZ,Kazakhstan,0,0,1,1
LIE,Liechtenstein,0,0,1,1
